clusterid - Prediction/OutPut,companycode,ff_assets_curr,ff_curr_ratio,ff_debt,ff_debt_eq,ff_ebitda_oper,ff_inven_turn,ff_invest_cf,ff_ltd_com_eq,ff_oper_cf,ff_roce,ff_sales,debt_ltd_com_eq_interaction,sale_assets_curr_interaction,sale_debt_interaction,ebitda_sales_interaction
6,B5SN54-R,7.97593119,5.88719346,8.492356307,0.127926584,-1.72834444,6.090285406,-1.963929627,0.064841377,-1.713075973,-0.103965623,0.0,0.5506560769205148,0.0,0.0,-0.0
3,B5WBS4-R,1856.797,1.170593027,258.668,0.409983469,299.539,28.35744959,-55.944,0.177620544,235.335,0.264467319,5441.258,45.944750875391996,10103311.530625999,1407479.324344,1629868.980062
6,B5WBS4-R,2165.2,1.213881258,189.9,0.254967777,351.7,21.22990559,-25.3,0.161782579,222.3,0.28058482,6725.8,30.722511752100004,14562702.159999998,1277229.4200000002,2365463.86
3,B6D9LH-R,26.8092326,1.539854031,3.0,0.140838458,3.366,6.013167847,-0.005,0.0,-2.545,0.0,4.354,0.0,116.7273987404,13.062000000000001,14.655564
6,B6D9LH-R,32.226,1.716864888,3.0,0.125266191,4.071,6.090285406,0.0,0.0,-1.401,0.0,5.275,0.0,169.99215,15.825000000000001,21.474525
3,B6W6N3-R,8.728,3.791485665,3.27,0.294860234,-0.735,2.148075412,-0.155,0.251217313,1.042,-0.121501318,6.329,0.82148061351,55.239512,20.69583,-4.651815
6,B6W6N3-R,8.304,2.006281711,2.787,0.261346587,0.456,2.436477007,-0.657,0.070330083,-0.433,-0.021245358,9.126,0.196009941321,75.782304,25.434161999999997,4.161456
3,B70M17-R,26.8092326,1.539854031,0.0,0.0,-0.23491,6.013167847,0.087379,0.0,-0.34684,0.0,-0.172599,0.0,-4.6272467375274005,-0.0,0.04054523109
6,B70M17-R,32.226,1.716864888,0.0,0.0,-0.25205,6.090285406,-0.034305,0.0,-0.352,0.0,-0.050987,0.0,-1.643107062,-0.0,0.01285127335
3,B7JHZS-R,26.8092326,1.539854031,7.591614679,0.131258594,2.032,6.013167847,-1.4,0.06221338,1.609136544,0.0,22.93340572,0.472300008838205,614.8270082576505,174.10157950341457,46.60068042304
6,B7JHZS-R,32.226,1.716864888,8.492356307,0.127926584,8.005395469,6.090285406,-2.0605,0.064841377,1.8833235,0.0,37.5375,0.5506560769205148,1209.683475,318.7818248740125,300.5025324175875
3,B809L1-R,33.151,1.757182233,1.259,0.043091351,3.844,9.817883756,-1.922,0.034226649,-0.451,0.062978529,69.463,0.04309135109099999,2302.767913,87.45391699999999,267.01577199999997
6,B809L1-R,35.428,1.632250633,1.0,0.034022863,3.52,9.118811307,-2.057,0.025517148,-1.913,0.04992,82.72,0.025517148,2930.60416,82.72,291.1744
3,B87120-R,41.809,1.643435535,17.668,0.184327759,11.219,6.013167847,-31.067,0.127979885,12.976,0.037690007,68.948,2.2611486081799996,2882.6469319999997,1218.1732639999998,773.5276119999999
6,B87120-R,55.259,1.010570399,17.572,0.175542702,18.95,6.090285406,-12.989,0.119409397,25.114,0.072184612,112.213,2.098261924084,6200.7781669999995,1971.8068359999997,2126.43635
3,B8RGCD-R,141.844,1.42252264,117.812,0.296106024,50.259,3.198540413,-20.099,0.278856715,44.558,0.022782122,316.172,32.85266730758,44847.101168,37248.855664,15890.488548000001
6,B8RGCD-R,201.975,1.76854576,127.255,0.300676466,99.003,3.932587899,-28.019,0.283680939,86.502,0.09423481,408.656,36.099817892445,82538.2956,52003.51928,40458.169968
3,B94LX5-R,26.8092326,1.539854031,7.591614679,0.131258594,2.032,6.013167847,-1.4,0.06221338,1.609136544,0.0,22.93340572,0.472300008838205,614.8270082576505,174.10157950341457,46.60068042304
6,B94LX5-R,32.226,1.716864888,8.492356307,0.127926584,8.005395469,6.090285406,-2.0605,0.064841377,1.8833235,0.0,37.5375,0.5506560769205148,1209.683475,318.7818248740125,300.5025324175875
