clusterid - Prediction/OutPut,companycode,ff_assets_curr,ff_curr_ratio,ff_debt,ff_debt_eq,ff_ebitda_oper,ff_inven_turn,ff_invest_cf,ff_ltd_com_eq,ff_oper_cf,ff_roce,ff_sales
3,VK5NFY-R,55.75258788,0.807140361,87.92494239,1.02607248,16.41667767,40.18455317,-35.07376142,0.964903744,8.720676657,0.027004341,188.1008547
1,FS0C66-R,401.9,0.932699002,562.0,-12.48888889,68.4,118.8695652,-20.7,-9.681093394,89.8,-0.065137838,824.2
1,BFWSM9-R,26.8092326,1.539854031,185.0601705,-15.28507553,18.97370015,1.02759601,-1.469172389,0.0,14.29245835,0.0,74.26650828
4,L1PG5M-R,8.590424327,34.31405943,0.0,0.0,-2.08603,6.013167847,-0.162313458,0.0,-1.527649266,-0.19242322,0.0
5,X31C9G-R,2476.828233,1.695402299,1870.635018,0.455716916,1296.883735,6.090285406,-581.8358449,0.46776345,924.7494374,0.145628414,6637.397681
1,HG7H7Q-R,303.0103515,0.14365484,2034.163649,-17.06936771,251.8024228,85.48914927,-227.3162162,-3.224677716,296.4858504,-0.145613004,740.356829
6,MGHKJ9-R,32.226,1.716864888,8.492356307,0.127926584,8.005395469,6.090285406,-2.0605,0.064841377,1.8833235,0.0,37.5375
5,HDL2BM-R,2261.994371,1.247211529,2618.600187,1.11096343,936.440702,9.007870049,212.3748652,0.99224541,797.4058354,0.120296885,5450.984505
5,CGFLHY-R,3901.605765,3.28061758,2746.845166,0.372459355,2131.703628,5.316762458,-1551.910812,0.406600779,1615.23183,0.11669108,3999.907608
2,L0VNM1-R,23.735378,33.98477976,0.461496,0.015360047,-2.548468,98.74140697,-2.959917,0.009599419,-3.574647,-0.097431025,2.331225
5,F0BW8V-R,32.226,1.716864888,8369.0,0.327951722,3077.0,6.090285406,3662.0,0.346912014,2624.0,0.0,6740.0
3,G7RWTL-R,26.8092326,1.539854031,7.591614679,0.131258594,2.032,6.013167847,-1.4,0.06221338,1.609136544,0.0,22.93340572
1,J1DM86-R,25.608,0.652699189,15.236,-11.63053435,5.212,18.51430596,0.0,-4.803816794,1.609136544,0.101617888,150.583
6,MSDN7J-R,32.226,1.716864888,0.121,0.000473846,-52.229,6.090285406,42.038,0.000473846,-7.138,0.0,0.34
4,BMDSRS-R,0.736830448,9.41509434,8.492356307,0.127926584,-0.74311,6.090285406,-0.919796734,0.064841377,-0.492981965,0.0,0.0
2,X42T1S-R,1329.5,29.54444444,0.0,0.0,2.7,6.090285406,0.0,0.0,13.0,0.00130833,0.0
1,J3JCY5-R,1.368694117,0.325778587,5.43322616,-12.35324166,-0.23726,6.013167847,-1.851165646,-6.866381477,-0.350192729,-0.069908069,0.0
