clusterid - Prediction/OutPut,companycode,ff_assets_curr,ff_curr_ratio,ff_debt,ff_debt_eq,ff_ebitda_oper,ff_inven_turn,ff_invest_cf,ff_ltd_com_eq,ff_oper_cf,ff_roce,ff_sales
4,JRKV6D-R,771.0933099,419.6042994,0.008047112,1.04e-05,0.0,6.013167847,-0.131788818,1.04e-05,-2.362840943,0.0,0.03977059
6,JTC3C0-R,13612.0,0.879441788,43469.0,0.690477325,12188.3,1.26430698,-814.0,0.637068594,8097.0,0.092906589,25760.0
1,JTC3C0-R,12807.0,0.845681458,39198.0,0.581564072,12007.0,1.400017735,-1172.0,0.531527101,8271.0,0.09047545,25713.0
3,JXW258-R,0.09,1.551724138,0.0,0.0,-0.229,6.013167847,0.0,0.0,-0.294,-7.15625,0.0
2,JZN90M-R,32.48772565,129.0410557,0.0,0.0,-2.560162864,6.090285406,10.21737842,0.0,-2.299855391,-0.093542212,2.075904882
2,KGP98F-R,21.908,1.154571805,15.501,-1.360572281,-10.209,1852.237288,-1.068,-0.965417362,1.229,-0.597085978,42.224
3,KGP98F-R,21.63,1.351875,12.226,7.852280026,4.567,3008.564103,-0.513,5.451509313,2.337,0.123447947,61.252
5,KHS6Z8-R,363035.0,1.355402232,104767.0,2.698441726,905.0,6.013167847,34203.0,1.48755822,-25339.9,0.0,14240.0
1,KHS6Z8-R,355189.0,1.89106349,111055.0,2.929206341,923.0,6.090285406,10107.0,1.933493378,-10509.0,0.0,12674.0
3,KJY2BX-R,0.956874794,0.780895522,0.203372472,-0.693266833,-1.617334945,6.013167847,-0.003119262,0.0,-2.3254098,7.178623359,0.0
2,KK460N-R,0.014471,1.11110258,0.0,0.0,-0.12602,6.013167847,0.0,0.0,-0.143542,-87.09053214,0.0
2,KN20WJ-R,3.932304868,0.191759197,11.88912062,-1.059650203,-22.58957367,6.013167847,-6.754845609,-1.007842693,-2.394815456,-40.62568022,19.23887662
1,KZS6TN-R,35.66772742,0.115732455,284.3856761,-19.30001986,17.51777714,2.46436844,-1.514401687,-0.984112799,10.50177524,17.99039857,50.31057634
2,LN50TL-R,370.4,1.390912505,80.1,0.511821086,-55.0,1092.105263,4.5,0.385942492,-46.8,-0.362701252,978.4
3,LN50TL-R,359.5,1.277540867,66.2,0.332663317,4.5,2435.777778,-2.2,0.252261307,29.5,-0.037848606,1135.2
2,LP4JNW-R,2.982022223,68.45762712,0.0,0.0,-1.29135,6.090285406,1.93266381,0.0,-0.805640143,-0.276139723,0.0
2,LQB0QL-R,43.279,1.270408313,6.54,0.415633937,7.441,927.9655172,-1.647,0.386739576,3.512,0.172851817,141.144
3,LQB0QL-R,40.046,1.267960612,5.815,0.378285194,7.491,919.3036437,0.359,0.35283906,4.71,0.208472986,143.625
6,LRJCVJ-R,12798.56615,1.927186605,9884.048429,0.412348166,6927.880841,3.911669265,-3761.829938,0.476959418,4859.030336,0.12207911,24097.85836
1,LRJCVJ-R,13970.98453,1.788056317,9491.675588,0.369744032,14290.66009,3.295455006,-4104.547481,0.417646002,11907.91392,0.299973337,30209.32404
1,M4YNT7-R,297.6919419,0.431132941,1569.311972,-33.18643255,319.5442075,12.40209381,-94.66414213,-25.23672649,372.2792374,-0.01952468,672.9254035
1,MB9PVF-R,0.05589,0.522869091,0.048119,-1.564387659,-0.083553,6.013167847,0.0,-0.871679834,-0.211513,25.75373702,0.078333
6,MH2X00-R,452061.8896,1.631941308,277165.9534,2.07508996,4055.040563,6.013167847,-1007.521617,0.65633314,-10911.17838,0.0,60562.03081
1,MH2X00-R,546443.2057,1.831012397,291959.0978,2.144920619,2689.587446,6.090285406,10621.65272,0.727780432,25243.8759,0.0,52832.68814
4,NLBHQ9-R,13.667,569.4583333,0.002,8.17e-05,-0.002,6.013167847,0.0,0.0,1.609136544,-8.17e-05,0.0
6,P9W20W-R,251594.175,0.3140012,410187.0928,5.061867627,2498.004902,6.013167847,1004.535779,4.022953177,-89715.71272,0.0,57384.77312
1,P9W20W-R,268059.1434,0.332414671,402882.5596,4.98580676,2368.596143,6.090285406,-36594.63852,4.072967952,-63008.4389,0.0,56831.69707
4,PSPYDR-R,0.276551,1.248948864,0.0,0.0,-0.9881,6.090285406,0.198502,0.0,-0.747377,-17.92504172,0.0
6,Q1KZKH-R,731832.0,1.821574181,136270.0,2.446059953,1539.0,6.013167847,-20113.0,1.639816934,10662.0,0.0,27606.0
1,Q1KZKH-R,743317.0,1.874469169,171373.0,2.965854418,1673.0,6.090285406,-27695.0,1.666015178,15102.0,0.0,27313.0
6,Q8D48N-R,20247.0,0.914168322,27150.0,1.304786621,10534.0,1.838064138,2094.0,1.60588195,7647.0,0.140401146,34099.0
1,Q8D48N-R,18674.0,0.788931136,24173.0,1.132649236,9776.0,2.005263605,-1806.0,1.366456327,7202.0,0.133494489,34114.0
5,QDX3C4-R,70146.0,0.236929302,30761.0,1.546400563,732.0,6.013167847,3863.0,0.548838145,17412.0,0.0,10230.0
5,QDX3C4-R,107696.0,0.326530612,46647.0,2.249457491,751.0,6.090285406,2560.0,0.802238626,9033.0,0.0,10284.0
6,QG1XJM-R,96430.0,1.041180789,158251.0,3.637368699,2732.0,6.013167847,-3007.0,2.474813993,314.0,0.0,34118.0
1,QG1XJM-R,100146.0,1.232050588,138671.0,2.935084452,2825.0,6.090285406,4043.0,1.709706239,-6848.0,0.0,42017.0
5,QJK6LT-R,1459.526684,1.294762801,3557.701452,14.40094759,508.4396976,4.432179914,-124.3025896,21.51370614,424.063665,0.075126974,1100.085716
5,QJK6LT-R,935.9518624,1.041403105,3105.467164,11.35276653,567.2201075,4.595500808,-610.3378487,18.3507177,448.9189752,0.07540037,1564.672405
4,QQ3VWV-R,4.491096688,85.28297044,0.0,0.0,-0.60824398,6.013167847,-0.377558773,0.0,-1.520778273,-0.065611993,0.0
5,QWTZ1F-R,18.7632116,0.421843258,38.45925295,130.0993123,3.504221872,214.5065987,0.973367606,26.07442212,-19.2030019,0.036332014,181.360007
5,R033YB-R,11770.0,0.169713923,5838.0,0.585791692,0.0,6.013167847,-457.0,0.574405388,4301.0,0.0,50231.0
2,R0CC4K-R,5729.9,77.95782313,6177.1,3.525943262,29.5,6.090285406,-123.8,3.525943262,297.9,0.0,532.1
2,R72Z5H-R,4.861,0.626659791,2.108,-1.187605634,-0.678,6.013167847,-0.397,-1.03943662,0.532,-12.5078125,14.179
3,R88VWG-R,0.0847,0.817607027,0.0,0.0,-0.2138,6.013167847,0.0,0.0,-0.182287,11.31516274,0.0
2,RNQ5S2-R,1105.1,0.453746664,6980.6,13.58622032,1225.8,1678.307692,-565.4,11.55916699,969.5,0.004840093,2480.2
3,RNQ5S2-R,831.7,0.366210207,6596.0,21.66174056,1048.7,1562.24,58.4,19.13190912,738.3,-0.004967103,2227.9
5,RPNZ7P-R,36.28486512,0.764989075,53.46739232,39.92217241,13.51025237,10.67571588,-4.371273484,22.30939957,12.58158534,-0.017711547,113.0778262
6,RS2FLX-R,15256.59315,1.796760576,10118.14624,0.266477853,16883.00542,7.494200597,-5011.874173,0.281527607,12912.18493,0.21122294,34788.34895
1,RS2FLX-R,18038.31814,1.934901402,9990.032855,0.239105849,24441.14421,6.86761608,-5157.405719,0.240997822,19221.20685,0.310957488,46167.97915
5,RT2GT1-R,139289.6595,2.029158185,85827.57233,2.538832745,975.5491816,6.013167847,-3492.013777,2.435281132,19781.57961,0.0,16297.36399
5,RT2GT1-R,134996.493,2.217202032,93000.84905,2.715816481,858.7193225,6.090285406,35644.48656,2.536087337,-4296.50506,0.0,13723.51269
5,RT3HS0-R,8858.649046,0.794622684,16464.61073,23.17966903,-886.0749693,29.53494475,-155.5572938,20.33809524,-121.1799913,-0.14335885,7262.205154
6,RZL144-R,32.226,1.716864888,1482.407,-2176.809104,86.772,6.090285406,-245.412,-6.490002409,151.568,0.0,252.639
6,S8V1HG-R,53390.39467,1.220455192,59933.42844,0.95743736,5432.974535,10.03701927,-5609.21284,0.991646661,9484.116025,-0.042719781,140652.2012
1,S8V1HG-R,68359.85086,1.15323776,51524.23493,0.771647188,18806.75298,6.609636184,-4050.74119,0.828225657,17168.56955,0.050877412,114693.9265
1,SGF9FK-R,3.535,6.357913669,3.465,-69.3,-0.717,6.013167847,0.854,-60.58,-0.611,-0.240684794,0.0
